"Product Labels","Product Labels"
"Please specify start date and end date","Please specify start date and end date"
"`To Date` should be more than `From Date`","`To Date` should be more than `From Date`"
"General","General"
"Minimal discount for `On Sale` condition","Minimal discount for `On Sale` condition"
"Record does not exist","Record does not exist"
"Edit","Edit"
"Unable to find a record to save","Unable to find a record to save"
"Product Label has been successfully deleted","Product Label has been successfully deleted"
"Please select records","Please select records"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Add Label","Add Label"
"ID","ID"
"Name","Name"
"Product Page Label","Product Page Label"
"Product Page Text","Product Page Text"
"Category Page Label","Category Page Label"
"Category Page Text","Category Page Text"
"Delete","Delete"
"Are you sure?","Are you sure?"
"New Product Label","New Product Label"
"Edit Product Label `%s`","Edit Product Label `%s`"
"No Image","No Image"
"Label Options","Label Options"
"Images","Images"
"Conditions","Conditions"
"Variables: {ATTR:code} - attribute value, {SAVE_PERCENT} - save percents, {SAVE_AMOUNT} - save amount, {PRICE} - price, {SPECIAL_PRICE} special price, {BR} - new line, {NEW_FOR} - how may days ago the product was added, {SKU} - product SKU","Variables: {ATTR:code} - attribute value, {SAVE_PERCENT} - save percents, {SAVE_AMOUNT} - save amount, {PRICE} - price, {SPECIAL_PRICE} special price, {BR} - new line, {NEW_FOR} - how may days ago the product was added, {SKU} - product SKU"
"Product Page","Product Page"
"Image","Image"
"Text","Text"
"Position","Position"
"Styles","Styles"
"Text Style","Text Style"
"Example: color:red;font-size:12px;","Example: color:red;font-size:12px;"
"Category Page","Category Page"
"Remove","Remove"
"Priority","Priority"
"Use 0 to show label first, and 99 to show it last","Use 0 to show label first, and 99 to show it last"
"Hide if label with higher priority is already applied","Hide if label with higher priority is already applied"
"Use for Parent","Use for Parent"
"Display child`s label for parent (configurable and grouped products only)","Display child`s label for parent (configurable and grouped products only)"
"No","No"
"Yes","Yes"
"Show In","Show In"
"Associated Labels","Associated Labels"
"Individual Products","Individual Products"
"Apply label to","Apply label to"
"All matching products and SKUs listed below","All matching products and SKUs listed below"
"All matching products except SKUs listed below","All matching products except SKUs listed below"
"SKUs listed below only","SKUs listed below only"
"SKUs","SKUs"
"Comma separated SKUs, no spaces. Please make sure the SKU attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`","Comma separated SKUs, no spaces. Please make sure the SKU attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`"
"State","State"
"Is New","Is New"
"Does not matter","Does not matter"
"Is on Sale","Is on Sale"
"Category & Attributes","Category & Attributes"
"Category is","Category is"
"Has attribute","Has attribute"
"If you do not see the label, please make sure the attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`","If you do not see the label, please make sure the attribute properties `Visible on Product View Page on Front-end`, `Used in Product Listing` are set to `Yes`"
"Attribute value is","Attribute value is"
"Stock","Stock"
"Out of Stock","Out of Stock"
"In Stock","In Stock"
"Status","Status"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
"From Date","From Date"
"To Date","To Date"
"Price Range","Price Range"
"Use Price Range","Use Price Range"
"From Price","From Price"
"To Price","To Price"
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Middle Left","Middle Left"
"Middle Center","Middle Center"
"Middle Right","Middle Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"