"Tune Up","Tune Up"
"Setup Magento Frontend","Setup Magento Frontend"
"Disable Products Comparison","Disable Products Comparison"
"Enable/disable product comparison component on the frontend.","Enable/disable product comparison component on the frontend."
"Praxigento: Tune Up","Praxigento: Tune Up"
"-- All Enabled --","-- All Enabled --"
"Disable Navigation Links","Disable Navigation Links"
"Select account navigation links to be hidden on the frontend.","Select account navigation links to be hidden on the frontend."
"",""
"",""
"",""
"",""
"",""
"",""